symbol,date,open,high,low,close,adj_close,volume
AIR.PA,2020-01-02 00:00:00+00:00,123.88107304883646,126.8150486740444,123.35781842894497,124.7593994140625,,1254852
AIR.PA,2020-01-03 00:00:00+00:00,123.50730879438262,125.24526977539062,123.1709430473672,125.24526977539062,,830258
AIR.PA,2020-01-06 00:00:00+00:00,123.97448822319092,125.03970333028202,123.11485370059958,124.7033233642578,,719626
AIR.PA,2020-01-07 00:00:00+00:00,125.20790123217034,125.56297297720712,123.17094371249814,123.33912658691406,,976037
AIR.PA,2020-01-08 00:00:00+00:00,122.87192550400104,126.06752824345706,121.93753823781093,125.5629653930664,,1281161
AIR.PA,2020-01-09 00:00:00+00:00,126.72159600335428,126.96454581652888,125.03971033660982,126.0675277709961,,815627
AIR.PA,2020-01-10 00:00:00+00:00,126.06753545670162,126.16097989171456,125.28265353002143,125.600341796875,,649571
AIR.PA,2020-01-13 00:00:00+00:00,125.58164219202575,127.33829480537678,125.58164219202575,126.25440216064452,,1024311
AIR.PA,2020-01-14 00:00:00+00:00,126.25441051319964,127.07667591982484,124.404327605912,126.23573303222656,,1236698
AIR.PA,2020-01-15 00:00:00+00:00,126.29180100294803,127.07668297597088,124.4417037353116,125.45084381103516,,881425
AIR.PA,2020-01-16 00:00:00+00:00,125.39479062979277,126.72161907344956,124.55384764332402,124.64727783203124,,912337
AIR.PA,2020-01-17 00:00:00+00:00,125.65638753068272,128.19792187282437,125.65638753068272,127.80548095703124,,1061143
AIR.PA,2020-01-20 00:00:00+00:00,127.82418751319804,129.18838500850777,127.2448576828546,128.8520050048828,,706794
AIR.PA,2020-01-21 00:00:00+00:00,128.01106228696145,128.01106228696145,127.0019222748069,127.45042419433594,,817707
AIR.PA,2020-01-22 00:00:00+00:00,128.38481145854553,130.1788476511764,128.14187588923585,128.9267578125,,1191568
AIR.PA,2020-01-23 00:00:00+00:00,128.9454425267835,129.07625617353494,126.72159627439102,126.8897933959961,,985427
AIR.PA,2020-01-24 00:00:00+00:00,128.17923021689057,130.25357095710933,128.1044917870313,129.87982177734375,,1462261
AIR.PA,2020-01-27 00:00:00+00:00,126.16099528302745,128.2727057503241,124.12402326371618,124.18008422851562,,1804728
AIR.PA,2020-01-28 00:00:00+00:00,127.07667598024132,127.9176188682394,124.94627402353504,125.43215942382812,,1433803
AIR.PA,2020-01-29 00:00:00+00:00,125.843284614415,127.99237842490516,125.05840264253438,127.59993743896484,,1045204
AIR.PA,2020-01-30 00:00:00+00:00,125.8806685974811,126.5907978714127,124.7780840784185,125.67510223388672,,1090153
AIR.PA,2020-01-31 00:00:00+00:00,126.21704147160187,127.24485897371356,124.4416970009414,124.49777221679688,,1207948
AIR.PA,2020-02-03 00:00:00+00:00,124.87152817826896,125.28266090433527,124.23615160716272,124.90889739990234,,753424
AIR.PA,2020-02-04 00:00:00+00:00,125.74984691381636,128.94544982910156,125.2079005586928,128.94544982910156,,1125014
AIR.PA,2020-02-05 00:00:00+00:00,128.3100813963503,129.37528243535274,127.22618861768258,127.8989486694336,,1471991
AIR.PA,2020-02-06 00:00:00+00:00,128.627761674049,128.79594454770557,127.41305530859314,128.0110626220703,,840490
AIR.PA,2020-02-07 00:00:00+00:00,128.02973901932043,128.87068180207464,127.43173177749988,127.80548095703124,,905844
AIR.PA,2020-02-10 00:00:00+00:00,127.17011186120077,128.60906196906524,127.1514201238571,127.6559829711914,,668866
AIR.PA,2020-02-11 00:00:00+00:00,128.94544982910156,129.67427079622175,127.91761807669155,128.94544982910156,,976754
AIR.PA,2020-02-12 00:00:00+00:00,129.39395231232663,129.86114597316018,127.26355035953516,127.63731384277344,,1323454
AIR.PA,2020-02-13 00:00:00+00:00,125.2079090392352,129.22577762858538,122.180488792409,124.0866470336914,,2023142
AIR.PA,2020-02-14 00:00:00+00:00,124.64727126817756,125.03972651599196,121.24610176220604,121.33954620361328,,1759988
AIR.PA,2020-02-17 00:00:00+00:00,120.53597197312878,122.38605499267578,118.72325817541449,122.38605499267578,,1239666
AIR.PA,2020-02-18 00:00:00+00:00,121.93754544339576,123.39518738356904,121.52641274075836,121.71328735351562,,1225040
AIR.PA,2020-02-19 00:00:00+00:00,122.1804738265108,123.26436647740566,121.63852750106338,123.1522445678711,,1221803
AIR.PA,2020-02-20 00:00:00+00:00,122.6850658597402,124.90889812921634,122.64768238026872,123.1335678100586,,1095571
